ano,indigena_priv,branca_priv,preta_priv,amarela_priv,nao_declarada_priv,parda_priv,ppi_priv,amarela,branca,indigena,nao_declarada,parda,preta,ppi
2009,30,17676,1454,88,9707,3067,4551,206,22056,83,60674,15436,8908,24427
2010,15,18547,1475,71,8080,3164,4654,269,32257,93,37277,20960,11718,32771
2011,15,19932,1625,86,7728,3467,5107,282,34710,78,33141,24298,13353,37729
2012,22,20791,1786,84,6606,3895,5703,284,36071,91,27388,26812,14748,41651
2013,20,20137,1857,75,6274,3969,5846,295,37096,76,23282,28707,15283,44066
2014,22,21265,2117,85,6205,4464,6603,289,36783,82,17864,29658,15417,45157
2015,21,21350,2069,91,5256,4513,6603,216,34771,64,12828,28988,14968,44020
2016,25,21630,2149,89,5096,4715,6889,193,35411,74,13551,30699,15896,46669
2017,21,21538,2078,92,4727,4438,6537,185,34357,73,12712,31317,16114,47504
2018,19,21366,2001,94,4731,4544,6564,540,33617,209,10663,30500,15745,46454
2019,19,21709,2043,109,4593,4584,6646,217,32586,63,8356,30355,15667,46085
2020,21,20788,1940,122,4608,4405,6366,191,30803,67,10678,28901,14871,43839
