ano,amarela,branca,indigena,nao_declarada,parda,preta,ppi
2009,206,22056,83,60674,15436,8908,24427
2010,269,32257,93,37277,20960,11718,32771
2011,282,34710,78,33141,24298,13353,37729
2012,284,36071,91,27388,26812,14748,41651
2013,295,37096,76,23282,28707,15283,44066
2014,289,36783,82,17864,29658,15417,45157
2015,216,34771,64,12828,28988,14968,44020
2016,193,35411,74,13551,30699,15896,46669
2017,185,34357,73,12712,31317,16114,47504
2018,540,33617,209,10663,30500,15745,46454
2019,217,32586,63,8356,30355,15667,46085
2020,191,30803,67,10678,28901,14871,43839
